input_text,target_text,perturb_type,noise_std
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 5.9
80 80 120
Na
0.81 0.18 0.49
Na
0.15 0.82 0.48
Na
0.50 0.48 0.51
Na
0.99 1.00 0.01
Bi
0.32 0.68 0.01
Bi
0.64 0.31 0.96
O
0.68 0.74 0.74
O
0.95 0.61 0.22
O
0.57 0.93 0.25
O
0.06 0.42 0.78
O
0.43 0.07 0.77
O
0.27 0.29 0.21","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.02
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.48
Na
0.15 0.84 0.49
Na
0.49 0.52 0.52
Na
0.02 0.01 0.02
Bi
0.31 0.64 0.02
Bi
0.67 0.31 0.02
O
0.73 0.70 0.74
O
0.92 0.55 0.26
O
0.55 0.88 0.19
O
0.09 0.45 0.79
O
0.39 0.07 0.76
O
0.30 0.24 0.19","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.02
"Below is a description of a bulk material. The chemical formula is Na2BiO3. The spacegroup number is 12. The formation energy per atom is -1.6975. The band gap is 0.0. The energy above the convex hull is 0.0333. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.0 6.0 6.0
80 80 120
Na
0.84 0.15 0.51
Na
0.20 0.84 0.50
Na
0.51 0.51 0.50
Na
0.99 0.99 0.98
Bi
0.34 0.67 0.02
Bi
0.66 0.34 0.01
O
0.72 0.71 0.77
O
0.95 0.55 0.21
O
0.56 0.93 0.22
O
0.06 0.44 0.79
O
0.43 0.07 0.78
O
0.28 0.29 0.23","6.0 6.0 6.0
80 80 120
Na
0.84 0.16 0.50
Na
0.16 0.84 0.50
Na
0.50 0.50 0.50
Na
0.00 0.00 0.00
Bi
0.33 0.67 0.00
Bi
0.67 0.33 0.00
O
0.71 0.71 0.77
O
0.93 0.56 0.22
O
0.56 0.93 0.22
O
0.07 0.44 0.78
O
0.44 0.07 0.78
O
0.29 0.29 0.23",continuous,0.01
"Below is a description of a bulk material. The chemical formula is InBiS3. The spacegroup number is 11. The formation energy per atom is -0.7366. The band gap is 1.4018. The energy above the convex hull is 0.0033. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 6.6 10.0
89 90 90
In
0.25 0.76 0.01
Ga
0.73 0.22 0.96
Bi
0.25 0.40 0.34
Bi
0.76 0.60 0.64
S
0.76 0.26 0.54
O
0.24 0.75 0.52
S
0.26 0.43 0.85
S
0.74 0.59 0.16
Se
0.26 0.09 0.14
S
0.72 0.91 0.89","3.9 6.7 9.9
89 90 90
In
0.25 0.75 1.00
In
0.75 0.25 0.00
Bi
0.25 0.40 0.35
Bi
0.75 0.60 0.65
S
0.75 0.25 0.51
S
0.25 0.75 0.49
S
0.25 0.43 0.85
S
0.75 0.57 0.15
S
0.25 0.08 0.14
S
0.75 0.92 0.86",composition,0.02
"Below is a description of a bulk material. The chemical formula is InBiS3. The spacegroup number is 11. The formation energy per atom is -0.7366. The band gap is 1.4018. The energy above the convex hull is 0.0033. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 6.7 9.9
89 90 90
In
0.26 0.76 0.01
In
0.75 0.26 1.00
Bi
0.27 0.40 0.35
Bi
0.74 0.61 0.65
S
0.74 0.25 0.50
S
0.25 0.74 0.51
S
0.25 0.41 0.85
S
0.73 0.55 0.15
S
0.25 0.08 0.14
S
0.75 0.92 0.87","3.9 6.7 9.9
89 90 90
In
0.25 0.75 1.00
In
0.75 0.25 0.00
Bi
0.25 0.40 0.35
Bi
0.75 0.60 0.65
S
0.75 0.25 0.51
S
0.25 0.75 0.49
S
0.25 0.43 0.85
S
0.75 0.57 0.15
S
0.25 0.08 0.14
S
0.75 0.92 0.86",continuous,0.01
"Below is a description of a bulk material. The chemical formula is InBiS3. The spacegroup number is 11. The formation energy per atom is -0.7366. The band gap is 1.4018. The energy above the convex hull is 0.0033. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.9 6.7 9.9
89 90 90
In
0.27 0.80 0.02
In
0.74 0.25 0.01
Bi
0.24 0.39 0.36
Bi
0.75 0.63 0.65
S
0.74 0.26 0.54
S
0.24 0.74 0.46
S
0.21 0.43 0.82
S
0.75 0.60 0.14
S
0.22 0.06 0.14
S
0.72 0.89 0.84","3.9 6.7 9.9
89 90 90
In
0.25 0.75 1.00
In
0.75 0.25 0.00
Bi
0.25 0.40 0.35
Bi
0.75 0.60 0.65
S
0.75 0.25 0.51
S
0.25 0.75 0.49
S
0.25 0.43 0.85
S
0.75 0.57 0.15
S
0.25 0.08 0.14
S
0.75 0.92 0.86",continuous,0.02
"Below is a description of a bulk material. The chemical formula is TbAlNi4. The spacegroup number is 65. The formation energy per atom is -0.5213. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.9 4.9 4.0
90 90 118
Dy
0.52 0.49 0.04
Al
0.99 0.01 0.49
Co
0.21 0.83 0.02
Ni
0.87 0.15 0.99
Ni
0.99 0.51 0.51
Ni
0.48 0.99 0.51","4.9 4.9 4.0
90 90 118
Tb
0.50 0.50 0.00
Al
0.00 0.00 0.50
Ni
0.17 0.83 0.00
Ni
0.83 0.17 0.00
Ni
0.00 0.50 0.50
Ni
0.50 0.00 0.50",composition,0.015
"Below is a description of a bulk material. The chemical formula is TbAlNi4. The spacegroup number is 65. The formation energy per atom is -0.5213. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.9 4.9 4.0
90 90 118
Tb
0.51 0.49 0.01
Al
1.00 0.99 0.49
Ni
0.18 0.82 1.00
Ni
0.86 0.16 0.99
Ni
0.02 0.48 0.51
Ni
0.50 0.99 0.51","4.9 4.9 4.0
90 90 118
Tb
0.50 0.50 0.00
Al
0.00 0.00 0.50
Ni
0.17 0.83 0.00
Ni
0.83 0.17 0.00
Ni
0.00 0.50 0.50
Ni
0.50 0.00 0.50",continuous,0.01
"Below is a description of a bulk material. The chemical formula is TbAlNi4. The spacegroup number is 65. The formation energy per atom is -0.5213. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.9 4.9 4.0
90 90 118
Tb
0.49 0.51 0.01
Al
0.99 1.00 0.49
Ni
0.16 0.83 0.03
Ni
0.81 0.17 0.99
Ni
0.01 0.51 0.51
Ni
0.51 0.98 0.51","4.9 4.9 4.0
90 90 118
Tb
0.50 0.50 0.00
Al
0.00 0.00 0.50
Ni
0.17 0.83 0.00
Ni
0.83 0.17 0.00
Ni
0.00 0.50 0.50
Ni
0.50 0.00 0.50",continuous,0.015
"Below is a description of a bulk material. The chemical formula is CdIn3Te4As. The spacegroup number is 1. The formation energy per atom is -0.5212. The band gap is 0.5664. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.4 7.9 7.8
100 114 66
Cd
0.97 0.03 0.02
In
0.60 0.24 0.39
In
0.19 0.41 0.85
In
0.80 0.60 0.18
Te
0.35 0.73 0.90
S
0.99 0.88 0.36
Te
0.57 0.10 0.71
Te
0.73 0.50 0.53
As
0.14 0.29 0.12","6.4 7.9 7.8
100 114 66
Cd
0.00 0.01 0.00
In
0.58 0.21 0.39
In
0.21 0.40 0.82
In
0.81 0.59 0.19
Te
0.36 0.70 0.88
Te
0.97 0.89 0.32
Te
0.54 0.08 0.69
Te
0.73 0.52 0.51
As
0.15 0.30 0.10",composition,0.03
"Below is a description of a bulk material. The chemical formula is CdIn3Te4As. The spacegroup number is 1. The formation energy per atom is -0.5212. The band gap is 0.5664. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.4 7.9 7.8
100 114 66
Cd
0.00 0.00 0.01
In
0.58 0.20 0.39
In
0.22 0.40 0.81
In
0.81 0.59 0.20
Te
0.37 0.70 0.87
Te
0.98 0.89 0.33
Te
0.54 0.09 0.69
Te
0.72 0.52 0.51
As
0.13 0.30 0.10","6.4 7.9 7.8
100 114 66
Cd
0.00 0.01 0.00
In
0.58 0.21 0.39
In
0.21 0.40 0.82
In
0.81 0.59 0.19
Te
0.36 0.70 0.88
Te
0.97 0.89 0.32
Te
0.54 0.08 0.69
Te
0.73 0.52 0.51
As
0.15 0.30 0.10",continuous,0.005
"Below is a description of a bulk material. The chemical formula is CdIn3Te4As. The spacegroup number is 1. The formation energy per atom is -0.5212. The band gap is 0.5664. The energy above the convex hull is 0.0094. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
6.4 7.9 7.7
100 114 66
Cd
1.00 0.01 0.99
In
0.56 0.22 0.39
In
0.18 0.40 0.84
In
0.83 0.58 0.19
Te
0.35 0.71 0.85
Te
0.98 0.90 0.31
Te
0.56 0.07 0.72
Te
0.71 0.53 0.51
As
0.15 0.28 0.10","6.4 7.9 7.8
100 114 66
Cd
0.00 0.01 0.00
In
0.58 0.21 0.39
In
0.21 0.40 0.82
In
0.81 0.59 0.19
Te
0.36 0.70 0.88
Te
0.97 0.89 0.32
Te
0.54 0.08 0.69
Te
0.73 0.52 0.51
As
0.15 0.30 0.10",continuous,0.02
"Below is a description of a bulk material. The chemical formula is TiCu4. The spacegroup number is 62. The formation energy per atom is -0.085. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.3 4.5 13.0
90 90 90
Ti
0.25 0.16 0.59
Ti
0.25 0.65 0.90
Ti
0.75 0.84 0.42
Ti
0.75 0.34 0.10
Cu
0.25 0.16 0.01
Cu
0.26 0.66 0.50
Cu
0.75 0.84 0.01
Cu
0.75 0.34 0.50
Cu
0.25 0.16 0.80
Cu
0.26 0.66 0.70
Cu
0.75 0.83 0.20
Cu
0.76 0.33 0.30
Cu
0.26 0.18 0.40
Cu
0.25 0.67 0.10
Cu
0.75 0.82 0.60
Cu
0.75 0.33 0.89
Cu
0.26 0.16 0.20
Cu
0.26 0.67 0.30
Cu
0.75 0.84 0.80
Cu
0.75 0.33 0.70","4.3 4.5 13.0
90 90 90
Ti
0.25 0.16 0.60
Ti
0.25 0.66 0.90
Ti
0.75 0.84 0.40
Ti
0.75 0.34 0.10
Cu
0.25 0.16 0.00
Cu
0.25 0.66 0.50
Cu
0.75 0.84 1.00
Cu
0.75 0.34 0.50
Cu
0.25 0.16 0.80
Cu
0.25 0.66 0.70
Cu
0.75 0.84 0.20
Cu
0.75 0.34 0.30
Cu
0.25 0.18 0.40
Cu
0.25 0.68 0.10
Cu
0.75 0.82 0.60
Cu
0.75 0.32 0.90
Cu
0.25 0.17 0.20
Cu
0.25 0.67 0.30
Cu
0.75 0.83 0.80
Cu
0.75 0.33 0.70",continuous,0.005
"Below is a description of a bulk material. The chemical formula is TiCu4. The spacegroup number is 62. The formation energy per atom is -0.085. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.3 4.5 13.0
90 90 90
Ti
0.25 0.15 0.60
Ti
0.25 0.65 0.90
Ti
0.76 0.84 0.40
Ti
0.75 0.34 0.10
Cu
0.25 0.16 0.00
Cu
0.24 0.66 0.49
Cu
0.74 0.84 0.99
Cu
0.75 0.34 0.51
Cu
0.24 0.16 0.80
Cu
0.26 0.66 0.71
Cu
0.74 0.84 0.20
Cu
0.75 0.34 0.30
Cu
0.25 0.18 0.39
Cu
0.25 0.68 0.11
Cu
0.75 0.82 0.61
Cu
0.75 0.31 0.90
Cu
0.25 0.18 0.20
Cu
0.24 0.67 0.30
Cu
0.75 0.83 0.80
Cu
0.75 0.34 0.71","4.3 4.5 13.0
90 90 90
Ti
0.25 0.16 0.60
Ti
0.25 0.66 0.90
Ti
0.75 0.84 0.40
Ti
0.75 0.34 0.10
Cu
0.25 0.16 0.00
Cu
0.25 0.66 0.50
Cu
0.75 0.84 1.00
Cu
0.75 0.34 0.50
Cu
0.25 0.16 0.80
Cu
0.25 0.66 0.70
Cu
0.75 0.84 0.20
Cu
0.75 0.34 0.30
Cu
0.25 0.18 0.40
Cu
0.25 0.68 0.10
Cu
0.75 0.82 0.60
Cu
0.75 0.32 0.90
Cu
0.25 0.17 0.20
Cu
0.25 0.67 0.30
Cu
0.75 0.83 0.80
Cu
0.75 0.33 0.70",continuous,0.005
"Below is a description of a bulk material. The chemical formula is TiCu4. The spacegroup number is 62. The formation energy per atom is -0.085. The band gap is 0.0. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.3 4.5 13.0
90 90 90
Ti
0.24 0.18 0.61
Ti
0.26 0.63 0.91
Ti
0.73 0.86 0.45
Ti
0.73 0.34 0.13
Cu
0.22 0.10 0.99
Cu
0.24 0.69 0.50
Cu
0.74 0.82 0.98
Cu
0.72 0.33 0.54
Cu
0.18 0.13 0.84
Cu
0.29 0.64 0.71
Cu
0.76 0.85 0.21
Cu
0.74 0.37 0.34
Cu
0.25 0.21 0.34
Cu
0.21 0.63 0.03
Cu
0.73 0.85 0.56
Cu
0.70 0.36 0.92
Cu
0.31 0.21 0.20
Cu
0.27 0.67 0.28
Cu
0.76 0.77 0.82
Cu
0.74 0.27 0.70","4.3 4.5 13.0
90 90 90
Ti
0.25 0.16 0.60
Ti
0.25 0.66 0.90
Ti
0.75 0.84 0.40
Ti
0.75 0.34 0.10
Cu
0.25 0.16 0.00
Cu
0.25 0.66 0.50
Cu
0.75 0.84 1.00
Cu
0.75 0.34 0.50
Cu
0.25 0.16 0.80
Cu
0.25 0.66 0.70
Cu
0.75 0.84 0.20
Cu
0.75 0.34 0.30
Cu
0.25 0.18 0.40
Cu
0.25 0.68 0.10
Cu
0.75 0.82 0.60
Cu
0.75 0.32 0.90
Cu
0.25 0.17 0.20
Cu
0.25 0.67 0.30
Cu
0.75 0.83 0.80
Cu
0.75 0.33 0.70",continuous,0.03
"Below is a description of a bulk material. The chemical formula is NaS. The spacegroup number is 194. The formation energy per atom is -1.0784. The band gap is 1.2566. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.5 4.5 10.3
90 90 120
Na
0.01 0.97 0.00
Na
0.97 1.00 0.52
Na
0.33 0.62 0.25
Na
0.65 0.34 0.75
S
0.28 0.66 0.65
S
0.71 0.27 0.14
S
0.63 0.27 0.32
S
0.37 0.67 0.86","4.5 4.5 10.3
90 90 120
Na
0.00 0.00 0.00
Na
0.00 0.00 0.50
Na
0.33 0.67 0.25
Na
0.67 0.33 0.75
S
0.33 0.67 0.64
S
0.67 0.33 0.14
S
0.67 0.33 0.36
S
0.33 0.67 0.86",continuous,0.03
"Below is a description of a bulk material. The chemical formula is NaS. The spacegroup number is 194. The formation energy per atom is -1.0784. The band gap is 1.2566. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.5 4.5 10.3
90 90 120
Na
0.03 0.01 1.00
Na
0.01 0.03 0.49
Na
0.31 0.68 0.28
Na
0.65 0.35 0.73
S
0.36 0.70 0.64
S
0.69 0.35 0.17
S
0.68 0.36 0.33
S
0.30 0.66 0.86","4.5 4.5 10.3
90 90 120
Na
0.00 0.00 0.00
Na
0.00 0.00 0.50
Na
0.33 0.67 0.25
Na
0.67 0.33 0.75
S
0.33 0.67 0.64
S
0.67 0.33 0.14
S
0.67 0.33 0.36
S
0.33 0.67 0.86",continuous,0.02
"Below is a description of a bulk material. The chemical formula is NaS. The spacegroup number is 194. The formation energy per atom is -1.0784. The band gap is 1.2566. The energy above the convex hull is 0.0. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
4.5 4.5 10.3
90 90 120
Na
1.00 0.01 0.00
Na
0.00 0.02 0.53
Na
0.32 0.67 0.24
Na
0.67 0.35 0.77
S
0.34 0.67 0.64
S
0.66 0.33 0.15
S
0.68 0.34 0.36
S
0.35 0.69 0.87","4.5 4.5 10.3
90 90 120
Na
0.00 0.00 0.00
Na
0.00 0.00 0.50
Na
0.33 0.67 0.25
Na
0.67 0.33 0.75
S
0.33 0.67 0.64
S
0.67 0.33 0.14
S
0.67 0.33 0.36
S
0.33 0.67 0.86",continuous,0.015
"Below is a description of a bulk material. The chemical formula is Li2CoO2. The spacegroup number is 164. The formation energy per atom is -1.7426. The band gap is 2.5515. The energy above the convex hull is 0.0391. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.1 3.1 5.1
90 90 120
Li
0.34 0.67 0.65
Li
0.66 0.30 0.33
Co
0.99 0.98 1.00
O
0.34 0.64 0.26
O
0.70 0.32 0.76","3.2 3.2 5.1
90 90 120
Li
0.33 0.67 0.64
Li
0.67 0.33 0.36
Co
0.00 0.00 0.00
O
0.33 0.67 0.24
O
0.67 0.33 0.76",continuous,0.015
"Below is a description of a bulk material. The chemical formula is Li2CoO2. The spacegroup number is 164. The formation energy per atom is -1.7426. The band gap is 2.5515. The energy above the convex hull is 0.0391. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.2 3.2 5.1
90 90 120
Li
0.35 0.66 0.64
Li
0.66 0.31 0.35
Co
0.01 0.00 0.01
O
0.33 0.69 0.24
O
0.67 0.32 0.76","3.2 3.2 5.1
90 90 120
Li
0.33 0.67 0.64
Li
0.67 0.33 0.36
Co
0.00 0.00 0.00
O
0.33 0.67 0.24
O
0.67 0.33 0.76",continuous,0.01
"Below is a description of a bulk material. The chemical formula is Li2CoO2. The spacegroup number is 164. The formation energy per atom is -1.7426. The band gap is 2.5515. The energy above the convex hull is 0.0391. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
3.2 3.2 5.1
90 90 120
Li
0.33 0.66 0.64
Li
0.67 0.33 0.36
Co
0.01 0.99 0.00
O
0.33 0.68 0.25
S
0.66 0.33 0.77","3.2 3.2 5.1
90 90 120
Li
0.33 0.67 0.64
Li
0.67 0.33 0.36
Co
0.00 0.00 0.00
O
0.33 0.67 0.24
O
0.67 0.33 0.76",composition,0.005
"Below is a description of a bulk material. The chemical formula is Cs2NaMoI6. The spacegroup number is 225. The formation energy per atom is -1.1575. The band gap is 1.4011. The energy above the convex hull is 0.0714. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.5 8.5 8.5
60 60 60
Cs
0.75 0.75 0.75
Cs
0.25 0.26 0.25
Na
0.51 0.50 0.50
Mo
0.00 1.00 0.00
I
0.76 0.23 0.24
I
0.23 0.24 0.76
I
0.24 0.77 0.77
Br
0.24 0.77 0.24
I
0.76 0.24 0.77
I
0.77 0.76 0.24","8.5 8.5 8.5
60 60 60
Cs
0.75 0.75 0.75
Cs
0.25 0.25 0.25
Na
0.50 0.50 0.50
Mo
0.00 0.00 0.00
I
0.77 0.23 0.23
I
0.23 0.23 0.77
I
0.23 0.77 0.77
I
0.23 0.77 0.23
I
0.77 0.23 0.77
I
0.77 0.77 0.23",composition,0.005
"Below is a description of a bulk material. The chemical formula is Cs2NaMoI6. The spacegroup number is 225. The formation energy per atom is -1.1575. The band gap is 1.4011. The energy above the convex hull is 0.0714. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.5 8.5 8.5
60 60 60
Cs
0.76 0.76 0.75
Cs
0.25 0.25 0.25
Na
0.50 0.49 0.49
Mo
0.00 1.00 1.00
I
0.77 0.24 0.23
I
0.23 0.24 0.76
I
0.23 0.77 0.76
I
0.23 0.76 0.22
I
0.77 0.23 0.76
I
0.76 0.77 0.23","8.5 8.5 8.5
60 60 60
Cs
0.75 0.75 0.75
Cs
0.25 0.25 0.25
Na
0.50 0.50 0.50
Mo
0.00 0.00 0.00
I
0.77 0.23 0.23
I
0.23 0.23 0.77
I
0.23 0.77 0.77
I
0.23 0.77 0.23
I
0.77 0.23 0.77
I
0.77 0.77 0.23",continuous,0.005
"Below is a description of a bulk material. The chemical formula is Cs2NaMoI6. The spacegroup number is 225. The formation energy per atom is -1.1575. The band gap is 1.4011. The energy above the convex hull is 0.0714. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
8.5 8.5 8.5
60 60 60
Cs
0.75 0.77 0.75
Cs
0.27 0.24 0.26
Na
0.50 0.50 0.50
Mo
0.99 1.00 0.99
Br
0.77 0.25 0.26
I
0.24 0.23 0.78
Br
0.25 0.75 0.79
Cl
0.25 0.77 0.24
I
0.76 0.24 0.77
I
0.77 0.75 0.23","8.5 8.5 8.5
60 60 60
Cs
0.75 0.75 0.75
Cs
0.25 0.25 0.25
Na
0.50 0.50 0.50
Mo
0.00 0.00 0.00
I
0.77 0.23 0.23
I
0.23 0.23 0.77
I
0.23 0.77 0.77
I
0.23 0.77 0.23
I
0.77 0.23 0.77
I
0.77 0.77 0.23",composition,0.01
"Below is a description of a bulk material. The chemical formula is Nd(SiPt)2. The spacegroup number is 139. The formation energy per atom is -1.0006. The band gap is 0.0. The energy above the convex hull is 0.0764. Generate a description of the lengths and angles of the lattice vectors and then the element type and coordinates for each atom within the lattice:
5.8 5.8 5.8
120 120 62
Nd
0.97 0.99 0.02
Si
0.66 0.62 0.03
Si
0.37 0.38 0.96
Pt
0.76 0.24 0.51
Pt
0.25 0.76 0.47","5.8 5.8 5.8
137 137 62
Nd
0.00 0.00 0.00
Si
0.62 0.62 0.00
Si
0.38 0.38 0.00
Pt
0.75 0.25 0.50
Pt
0.25 0.75 0.50",continuous,0.02
